hop_id,complaint_id,hop_sequence,from_account,to_account,amount_transferred,hop_timestamp,available_timestamp,cashout_timestamp,prediction_time,cashout_time,remaining_minutes,prev_hop_time,time_since_prev_hop,reg_hit,reg_sightings,reg_reliability,bank_channel_NEFT,bank_channel_UPI
HOP_CMP_202600008_2,CMP_202600008,2,ACC_018695,ACC_018693,335207.0,2025-04-29T09:43:00,2025-04-29T10:01:00,2025-04-29T10:44:00,2025-04-29 10:01:00,2025-04-29 10:44:00,43.0,,0.0,1,219.0,0.5696200248764013,False,False
HOP_CMP_202600008_4,CMP_202600008,4,ACC_019022,ACC_018693,176733.41,2025-04-29T09:51:00,2025-04-29T10:31:00,2025-04-29T10:44:00,2025-04-29 10:31:00,2025-04-29 10:44:00,13.0,2025-04-29 10:01:00,30.0,1,219.0,0.5696200248764013,False,True
HOP_CMP_202600009_1,CMP_202600009,1,ACC_024218,ACC_022142,15886.79,2025-03-03T10:47:00,2025-03-03T11:23:00,2025-03-03T12:36:00,2025-03-03 11:23:00,2025-03-03 12:36:00,73.0,,0.0,1,5.0,0.37783172295533035,True,False
HOP_CMP_202600009_3,CMP_202600009,3,ACC_022126,ACC_022125,12606.21,2025-03-03T11:59:00,2025-03-03T12:26:00,2025-03-03T12:36:00,2025-03-03 12:26:00,2025-03-03 12:36:00,10.0,2025-03-03 11:23:00,63.0,1,90.0,0.713937633939084,False,True
HOP_CMP_202600009_2,CMP_202600009,2,ACC_022142,ACC_022126,12606.21,2025-03-03T11:30:00,2025-03-03T12:35:00,2025-03-03T12:36:00,2025-03-03 12:35:00,2025-03-03 12:36:00,1.0,2025-03-03 12:26:00,9.0,1,52.0,0.6698090128005515,False,True
HOP_CMP_202600014_1,CMP_202600014,1,ACC_024223,ACC_001878,15435.64,2025-01-21T07:54:00,2025-01-21T08:22:00,2025-01-21T08:47:00,2025-01-21 08:22:00,2025-01-21 08:47:00,25.0,,0.0,1,1.0,0.16666666666670527,False,False
HOP_CMP_202600014_2,CMP_202600014,2,ACC_001878,ACC_001534,15435.64,2025-01-21T07:55:00,2025-01-21T08:46:00,2025-01-21T08:47:00,2025-01-21 08:46:00,2025-01-21 08:47:00,1.0,2025-01-21 08:22:00,24.0,1,148.0,0.620915751165643,True,False
HOP_CMP_202600018_1,CMP_202600018,1,ACC_024227,ACC_013481,48666.19,2025-03-26T18:00:00,2025-03-26T18:46:00,2025-03-26T19:35:00,2025-03-26 18:46:00,2025-03-26 19:35:00,49.0,,0.0,1,7.0,0.38403662218596196,False,True
HOP_CMP_202600027_4,CMP_202600027,4,ACC_010240,ACC_009876,31724.1,2025-03-02T12:39:00,2025-03-02T13:05:00,2025-03-02T13:38:00,2025-03-02 13:05:00,2025-03-02 13:38:00,33.0,,0.0,1,40.0,0.5777619981385296,False,False
HOP_CMP_202600027_1,CMP_202600027,1,ACC_024236,ACC_009873,163040.61,2025-03-02T12:13:00,2025-03-02T13:25:00,2025-03-02T13:38:00,2025-03-02 13:25:00,2025-03-02 13:38:00,13.0,2025-03-02 13:05:00,20.0,1,364.0,0.5942398518527285,False,False
