cashout_id,complaint_id,final_account,zone_id,zone_name,district,state,location_id,lat,lng,amount_cashed_out,amount_frozen,amount_recovered,status,event_timestamp,available_timestamp
CSH_V2CMP_0000001,V2CMP_0000001,ACCV2_0012749,V2_ZID_010,Kanpur Civil Lines,Kanpur Nagar,Uttar Pradesh,ATM_V2_ZID_010_051,26.482644,80.404848,3435.25,0.0,0.0,COMPLETED,2026-01-05T01:40:32.982262,2026-01-05T02:10:32.982262
CSH_V2CMP_0000002,V2CMP_0000002,ACCV2_0020896,V2_ZID_119,Puri / Konark,Puri,Odisha,ATM_V2_ZID_119_070,19.799308,85.752948,10332.62,0.0,0.0,COMPLETED,2026-01-18T01:02:03.712927,2026-01-18T01:08:03.712927
CSH_V2CMP_0000003,V2CMP_0000003,ACCV2_0003096,V2_ZID_049,Rajkot Kalawad Road,Rajkot,Gujarat,ATM_V2_ZID_049_079,22.344702,70.857591,4289.05,0.0,0.0,COMPLETED,2026-01-28T13:07:27.743852,2026-01-28T13:33:27.743852
CSH_V2CMP_0000004,V2CMP_0000004,ACCV2_0016404,V2_ZID_011,Varanasi Sigra,Varanasi,Uttar Pradesh,ATM_V2_ZID_011_011,25.280757,83.030597,235787.77,0.0,0.0,COMPLETED,2026-01-03T20:15:02.712313,2026-01-03T20:25:02.712313
CSH_V2CMP_0000005,V2CMP_0000005,ACCV2_0027688,V2_ZID_002,South Delhi / Saket,South Delhi,Delhi,ATM_V2_ZID_002_043,28.568213,77.244184,333550.11,0.0,0.0,COMPLETED,2026-01-17T16:47:55.653137,2026-01-17T17:11:55.653137
CSH_V2CMP_0000006,V2CMP_0000006,ACCV2_0008689,V2_ZID_107,Srinagar Lal Chowk,Srinagar,Jammu & Kashmir,ATM_V2_ZID_107_064,34.027841,74.805741,6886.25,0.0,0.0,COMPLETED,2026-01-10T16:58:52.343728,2026-01-10T17:13:52.343728
CSH_V2CMP_0000007,V2CMP_0000007,ACCV2_0024604,V2_ZID_074,Indore Vijay Nagar,Indore,Madhya Pradesh,ATM_V2_ZID_074_041,22.661336,75.805366,874.41,1922.98,0.0,PARTIAL_FREEZE,2026-01-02T12:43:39.323870,2026-01-02T12:51:39.323870
CSH_V2CMP_0000008,V2CMP_0000008,ACCV2_0026980,V2_ZID_112,Kollam,Kollam,Kerala,ATM_V2_ZID_112_047,8.866956,76.662414,372242.08,0.0,0.0,COMPLETED,2026-01-06T14:07:51.257329,2026-01-06T14:14:51.257329
CSH_V2CMP_0000009,V2CMP_0000009,ACCV2_0015017,V2_ZID_061,Gaya / Bodh Gaya,Gaya,Bihar,ATM_V2_ZID_061_071,24.813656,84.974432,38693.9,0.0,0.0,COMPLETED,2026-01-04T20:55:35.741777,2026-01-04T21:13:35.741777
CSH_V2CMP_0000010,V2CMP_0000010,VICT_0043096,V2_ZID_019,Bengaluru MG Road,Bengaluru Urban,Karnataka,ATM_V2_ZID_019_024,12.961274,77.598585,976121.55,0.0,0.0,COMPLETED,2026-01-11T10:08:43.170636,2026-01-11T10:25:43.170636
