complaint_id,latent_syndicate_id,filer_cohort,hop_count_actual,cashout_zone_id,cmp_before_cashout,edge_case_tag
V2CMP_0000001,LSYN_0253,normal,6,V2_ZID_010,False,LONG_CHAIN|CROSS_STATE|CROSS_REGION
V2CMP_0000002,LSYN_0407,slow,3,V2_ZID_119,False,CROSS_STATE|CROSS_REGION
V2CMP_0000003,LSYN_0096,slow,2,V2_ZID_049,False,CROSS_STATE|CROSS_REGION|VERY_SHORT_WINDOW
V2CMP_0000004,LSYN_0316,normal,5,V2_ZID_011,False,SAME_STATE
V2CMP_0000005,LSYN_0550,normal,3,V2_ZID_002,False,CROSS_STATE|CROSS_REGION
V2CMP_0000006,LSYN_0183,normal,2,V2_ZID_107,False,CROSS_STATE|CROSS_REGION
V2CMP_0000007,LSYN_0486,slow,3,V2_ZID_074,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000008,LSYN_0535,normal,4,V2_ZID_112,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000009,LSYN_0293,fast,3,V2_ZID_061,False,CROSS_STATE|CROSS_REGION
V2CMP_0000010,LSYN_0685,fast,0,V2_ZID_019,False,ZERO_HOP|CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000011,LSYN_0243,normal,4,V2_ZID_010,False,CROSS_STATE|CROSS_REGION
V2CMP_0000012,LSYN_0033,normal,2,V2_ZID_013,False,CROSS_STATE|CROSS_REGION
V2CMP_0000013,LSYN_0196,normal,4,V2_ZID_080,False,CROSS_STATE
V2CMP_0000014,LSYN_0706,fast,2,V2_ZID_115,False,CROSS_STATE
V2CMP_0000015,LSYN_0250,fast,5,V2_ZID_053,False,CROSS_STATE
V2CMP_0000016,LSYN_0505,fast,5,V2_ZID_018,True,CROSS_STATE|CROSS_REGION
V2CMP_0000017,LSYN_0426,slow,1,V2_ZID_005,False,CROSS_STATE|CROSS_REGION|VERY_SHORT_WINDOW|HOTSPOT_TARGET
V2CMP_0000018,LSYN_0688,normal,4,V2_ZID_073,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000019,LSYN_0493,fast,3,V2_ZID_032,False,CROSS_STATE|CROSS_REGION
V2CMP_0000020,LSYN_0761,fast,5,V2_ZID_081,False,CROSS_STATE|CROSS_REGION
V2CMP_0000021,LSYN_0888,fast,3,V2_ZID_038,False,CROSS_STATE|SHORT_WINDOW
V2CMP_0000022,LSYN_0346,normal,5,V2_ZID_041,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000023,LSYN_0020,slow,7,V2_ZID_001,False,LONG_CHAIN|CROSS_STATE|CROSS_REGION
V2CMP_0000024,LSYN_0631,fast,1,V2_ZID_018,False,CROSS_STATE|CROSS_REGION|CENSORED|SHORT_WINDOW
V2CMP_0000025,LSYN_0630,normal,1,V2_ZID_002,False,CROSS_STATE|CROSS_REGION
V2CMP_0000026,LSYN_0624,normal,2,V2_ZID_019,False,CROSS_STATE|CROSS_REGION
V2CMP_0000027,LSYN_0067,normal,2,V2_ZID_058,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000028,LSYN_0491,fast,3,V2_ZID_052,True,CROSS_STATE|CROSS_REGION|INTERVENTION
V2CMP_0000029,LSYN_0301,slow,2,V2_ZID_063,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW|HOTSPOT_TARGET
V2CMP_0000030,LSYN_0508,normal,1,V2_ZID_024,False,CROSS_STATE|CROSS_REGION|LONG_WINDOW
V2CMP_0000031,LSYN_0197,normal,7,V2_ZID_014,True,LONG_CHAIN|CROSS_STATE|INTERVENTION
V2CMP_0000032,LSYN_0518,slow,3,V2_ZID_045,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000033,LSYN_0828,normal,0,V2_ZID_011,False,ZERO_HOP|CROSS_STATE|CROSS_REGION
V2CMP_0000034,LSYN_0543,fast,1,V2_ZID_050,False,CROSS_STATE|CROSS_REGION
V2CMP_0000035,LSYN_0147,normal,3,V2_ZID_048,False,CROSS_STATE|CROSS_REGION
V2CMP_0000036,LSYN_0656,normal,4,V2_ZID_105,False,CROSS_STATE|CROSS_REGION
V2CMP_0000037,LSYN_0152,normal,2,V2_ZID_063,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW|HOTSPOT_TARGET
V2CMP_0000038,LSYN_0209,normal,3,V2_ZID_036,False,CROSS_STATE|CROSS_REGION
V2CMP_0000039,LSYN_0899,fast,2,V2_ZID_075,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000040,LSYN_0014,normal,1,V2_ZID_087,False,CROSS_STATE|CROSS_REGION
V2CMP_0000041,LSYN_0310,fast,2,V2_ZID_067,False,CROSS_STATE|CROSS_REGION
V2CMP_0000042,LSYN_0236,slow,2,V2_ZID_119,False,CROSS_STATE|SHORT_WINDOW
V2CMP_0000043,LSYN_0225,fast,6,V2_ZID_004,True,LONG_CHAIN|CROSS_STATE|CROSS_REGION|INTERVENTION|LONG_WINDOW
V2CMP_0000044,LSYN_0645,normal,3,V2_ZID_045,False,SAME_STATE|VERY_SHORT_WINDOW
V2CMP_0000045,LSYN_0202,normal,5,V2_ZID_120,True,CROSS_STATE|CROSS_REGION
V2CMP_0000046,LSYN_0507,normal,2,V2_ZID_057,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000047,LSYN_0433,normal,2,V2_ZID_071,False,CROSS_STATE|CROSS_REGION
V2CMP_0000048,LSYN_0255,normal,2,V2_ZID_022,False,CROSS_STATE|SHORT_WINDOW
V2CMP_0000049,LSYN_0357,fast,1,V2_ZID_089,False,CROSS_STATE|CROSS_REGION
V2CMP_0000050,LSYN_0035,normal,3,V2_ZID_019,True,CROSS_STATE|CROSS_REGION|INTERVENTION
