entity_id,syndicate_id,tier,operating_zone_ids,high_entropy,num_accounts
ENT_V2_000001,LSYN_0001,A,"V2_ZID_115,V2_ZID_111,V2_ZID_083",False,1
ENT_V2_000002,LSYN_0001,A,"V2_ZID_011,V2_ZID_015,V2_ZID_037,V2_ZID_105,V2_ZID_013,V2_ZID_058,V2_ZID_002,V2_ZID_115",True,6
ENT_V2_000003,LSYN_0001,A,"V2_ZID_083,V2_ZID_111,V2_ZID_065",False,1
ENT_V2_000004,LSYN_0001,A,"V2_ZID_065,V2_ZID_111,V2_ZID_083,V2_ZID_066,V2_ZID_055",False,1
ENT_V2_000005,LSYN_0001,A,"V2_ZID_083,V2_ZID_111,V2_ZID_068,V2_ZID_066,V2_ZID_065",False,1
ENT_V2_000006,LSYN_0001,A,"V2_ZID_065,V2_ZID_111,V2_ZID_066",False,1
ENT_V2_000007,LSYN_0001,A,"V2_ZID_111,V2_ZID_016,V2_ZID_083,V2_ZID_066",False,2
ENT_V2_000008,LSYN_0001,A,"V2_ZID_111,V2_ZID_066,V2_ZID_052,V2_ZID_083,V2_ZID_065",False,1
ENT_V2_000009,LSYN_0002,A,"V2_ZID_063,V2_ZID_047,V2_ZID_063,V2_ZID_067",False,1
ENT_V2_000010,LSYN_0002,A,"V2_ZID_063,V2_ZID_103,V2_ZID_041",False,1
ENT_V2_000011,LSYN_0002,A,"V2_ZID_063,V2_ZID_024,V2_ZID_103,V2_ZID_119,V2_ZID_067,V2_ZID_047",False,1
ENT_V2_000012,LSYN_0002,A,"V2_ZID_067,V2_ZID_063,V2_ZID_103,V2_ZID_047",False,2
ENT_V2_000013,LSYN_0002,A,"V2_ZID_006,V2_ZID_097,V2_ZID_070,V2_ZID_035,V2_ZID_086,V2_ZID_082,V2_ZID_046,V2_ZID_020",True,2
ENT_V2_000014,LSYN_0002,A,"V2_ZID_047,V2_ZID_017,V2_ZID_119,V2_ZID_103",False,1
ENT_V2_000015,LSYN_0002,A,"V2_ZID_047,V2_ZID_119,V2_ZID_063,V2_ZID_067",False,2
ENT_V2_000016,LSYN_0002,A,"V2_ZID_103,V2_ZID_050,V2_ZID_119",False,1
ENT_V2_000017,LSYN_0003,A,"V2_ZID_061,V2_ZID_066,V2_ZID_058",False,6
ENT_V2_000018,LSYN_0003,A,"V2_ZID_066,V2_ZID_005,V2_ZID_061",False,1
ENT_V2_000019,LSYN_0003,A,"V2_ZID_066,V2_ZID_061,V2_ZID_083",False,1
ENT_V2_000020,LSYN_0003,A,"V2_ZID_066,V2_ZID_067,V2_ZID_061",False,6
ENT_V2_000021,LSYN_0003,A,"V2_ZID_061,V2_ZID_100,V2_ZID_066",False,1
ENT_V2_000022,LSYN_0003,A,"V2_ZID_068,V2_ZID_061,V2_ZID_066",False,1
ENT_V2_000023,LSYN_0003,A,"V2_ZID_061,V2_ZID_113,V2_ZID_066",False,1
ENT_V2_000024,LSYN_0003,A,"V2_ZID_066,V2_ZID_061,V2_ZID_046",False,6
ENT_V2_000025,LSYN_0004,A,"V2_ZID_101,V2_ZID_022,V2_ZID_034",False,1
ENT_V2_000026,LSYN_0004,A,"V2_ZID_036,V2_ZID_101,V2_ZID_034",False,4
ENT_V2_000027,LSYN_0004,A,"V2_ZID_101,V2_ZID_008,V2_ZID_034",False,3
ENT_V2_000028,LSYN_0004,A,"V2_ZID_084,V2_ZID_101,V2_ZID_034",False,1
ENT_V2_000029,LSYN_0004,A,"V2_ZID_055,V2_ZID_101,V2_ZID_034",False,1
ENT_V2_000030,LSYN_0004,A,"V2_ZID_034,V2_ZID_101,V2_ZID_105",False,2
ENT_V2_000031,LSYN_0004,A,"V2_ZID_034,V2_ZID_101,V2_ZID_054",False,2
ENT_V2_000032,LSYN_0004,A,"V2_ZID_101,V2_ZID_016,V2_ZID_034",False,1
ENT_V2_000033,LSYN_0005,A,"V2_ZID_085,V2_ZID_029,V2_ZID_100,V2_ZID_017,V2_ZID_024,V2_ZID_070,V2_ZID_004",True,1
ENT_V2_000034,LSYN_0005,A,"V2_ZID_017,V2_ZID_101,V2_ZID_075,V2_ZID_054,V2_ZID_050,V2_ZID_046",False,1
ENT_V2_000035,LSYN_0005,A,"V2_ZID_012,V2_ZID_108,V2_ZID_023,V2_ZID_071,V2_ZID_005,V2_ZID_084,V2_ZID_111,V2_ZID_106",True,1
ENT_V2_000036,LSYN_0005,A,"V2_ZID_097,V2_ZID_046,V2_ZID_075,V2_ZID_050,V2_ZID_054",False,1
ENT_V2_000037,LSYN_0005,A,"V2_ZID_050,V2_ZID_017,V2_ZID_054",False,6
ENT_V2_000038,LSYN_0005,A,"V2_ZID_050,V2_ZID_046,V2_ZID_017,V2_ZID_075,V2_ZID_054,V2_ZID_087",False,4
ENT_V2_000039,LSYN_0005,A,"V2_ZID_046,V2_ZID_017,V2_ZID_075,V2_ZID_054,V2_ZID_094",False,6
ENT_V2_000040,LSYN_0005,A,"V2_ZID_050,V2_ZID_046,V2_ZID_043,V2_ZID_075",False,6
ENT_V2_000041,LSYN_0006,A,"V2_ZID_046,V2_ZID_104,V2_ZID_004,V2_ZID_055",False,6
ENT_V2_000042,LSYN_0006,A,"V2_ZID_063,V2_ZID_014,V2_ZID_112,V2_ZID_108,V2_ZID_094,V2_ZID_010",True,1
ENT_V2_000043,LSYN_0006,A,"V2_ZID_099,V2_ZID_045,V2_ZID_055,V2_ZID_104,V2_ZID_116",False,3
ENT_V2_000044,LSYN_0006,A,"V2_ZID_099,V2_ZID_104,V2_ZID_116",False,3
ENT_V2_000045,LSYN_0006,A,"V2_ZID_115,V2_ZID_099,V2_ZID_116,V2_ZID_046,V2_ZID_055",False,1
ENT_V2_000046,LSYN_0006,A,"V2_ZID_104,V2_ZID_118,V2_ZID_099,V2_ZID_116",False,6
ENT_V2_000047,LSYN_0006,A,"V2_ZID_030,V2_ZID_043,V2_ZID_019,V2_ZID_072,V2_ZID_099,V2_ZID_016",True,1
ENT_V2_000048,LSYN_0006,A,"V2_ZID_055,V2_ZID_116,V2_ZID_104,V2_ZID_099,V2_ZID_046,V2_ZID_052",False,4
ENT_V2_000049,LSYN_0007,A,"V2_ZID_008,V2_ZID_002,V2_ZID_083,V2_ZID_043,V2_ZID_119",False,1
ENT_V2_000050,LSYN_0007,A,"V2_ZID_082,V2_ZID_016,V2_ZID_085,V2_ZID_110,V2_ZID_035",True,1
ENT_V2_000051,LSYN_0007,A,"V2_ZID_008,V2_ZID_066,V2_ZID_083,V2_ZID_119",False,1
ENT_V2_000052,LSYN_0007,A,"V2_ZID_060,V2_ZID_027,V2_ZID_078,V2_ZID_087,V2_ZID_022",True,2
ENT_V2_000053,LSYN_0007,A,"V2_ZID_054,V2_ZID_006,V2_ZID_024,V2_ZID_071,V2_ZID_094,V2_ZID_066",True,4
ENT_V2_000054,LSYN_0007,A,"V2_ZID_008,V2_ZID_083,V2_ZID_108,V2_ZID_043,V2_ZID_119",False,1
ENT_V2_000055,LSYN_0007,A,"V2_ZID_119,V2_ZID_043,V2_ZID_097,V2_ZID_008,V2_ZID_083",False,4
ENT_V2_000056,LSYN_0007,A,"V2_ZID_083,V2_ZID_008,V2_ZID_043,V2_ZID_119,V2_ZID_079",False,1
ENT_V2_000057,LSYN_0008,A,"V2_ZID_112,V2_ZID_111,V2_ZID_072",False,6
ENT_V2_000058,LSYN_0008,A,"V2_ZID_047,V2_ZID_084,V2_ZID_051,V2_ZID_069,V2_ZID_079,V2_ZID_093",True,3
ENT_V2_000059,LSYN_0008,A,"V2_ZID_008,V2_ZID_103,V2_ZID_086,V2_ZID_111,V2_ZID_005,V2_ZID_036,V2_ZID_102,V2_ZID_039",True,6
ENT_V2_000060,LSYN_0008,A,"V2_ZID_111,V2_ZID_072,V2_ZID_080",False,6
ENT_V2_000061,LSYN_0008,A,"V2_ZID_046,V2_ZID_076,V2_ZID_109,V2_ZID_091",True,5
ENT_V2_000062,LSYN_0008,A,"V2_ZID_028,V2_ZID_048,V2_ZID_021,V2_ZID_069,V2_ZID_112,V2_ZID_055,V2_ZID_093",True,6
ENT_V2_000063,LSYN_0008,A,"V2_ZID_046,V2_ZID_072,V2_ZID_111",False,1
ENT_V2_000064,LSYN_0008,A,"V2_ZID_004,V2_ZID_071,V2_ZID_019,V2_ZID_083,V2_ZID_115,V2_ZID_117,V2_ZID_082",True,1
ENT_V2_000065,LSYN_0009,A,"V2_ZID_062,V2_ZID_067,V2_ZID_051,V2_ZID_108,V2_ZID_002",False,5
ENT_V2_000066,LSYN_0009,A,"V2_ZID_067,V2_ZID_011,V2_ZID_002,V2_ZID_051,V2_ZID_062",False,6
ENT_V2_000067,LSYN_0009,A,"V2_ZID_062,V2_ZID_002,V2_ZID_051,V2_ZID_020,V2_ZID_067",False,6
ENT_V2_000068,LSYN_0009,A,"V2_ZID_062,V2_ZID_067,V2_ZID_031,V2_ZID_051,V2_ZID_002",False,1
ENT_V2_000069,LSYN_0009,A,"V2_ZID_002,V2_ZID_063,V2_ZID_067,V2_ZID_051,V2_ZID_062",False,6
ENT_V2_000070,LSYN_0009,A,"V2_ZID_111,V2_ZID_062,V2_ZID_002,V2_ZID_067",False,1
ENT_V2_000071,LSYN_0009,A,"V2_ZID_016,V2_ZID_062,V2_ZID_051,V2_ZID_067",False,6
ENT_V2_000072,LSYN_0009,A,"V2_ZID_022,V2_ZID_062,V2_ZID_002,V2_ZID_051,V2_ZID_067",False,1
ENT_V2_000073,LSYN_0010,A,"V2_ZID_091,V2_ZID_108,V2_ZID_081",False,1
ENT_V2_000074,LSYN_0010,A,"V2_ZID_108,V2_ZID_081,V2_ZID_116",False,6
ENT_V2_000075,LSYN_0010,A,"V2_ZID_022,V2_ZID_071,V2_ZID_082,V2_ZID_067,V2_ZID_075,V2_ZID_070,V2_ZID_031,V2_ZID_064",True,1
ENT_V2_000076,LSYN_0010,A,"V2_ZID_060,V2_ZID_012,V2_ZID_032,V2_ZID_005,V2_ZID_002,V2_ZID_053,V2_ZID_050",True,6
