hop_id,complaint_id,hop_sequence,from_account,to_account,amount_transferred,bank_channel,institution,event_timestamp,available_timestamp
HOP_V2CMP_0000001_1,V2CMP_0000001,1,VICT_0043087,ACCV2_0012749,9892.83,UPI,HDFC,2026-01-04T23:49:01.119011,2026-01-05T00:40:01.119011
HOP_V2CMP_0000001_2,V2CMP_0000001,2,ACCV2_0012749,ACCV2_0012749,6043.8,UPI,IndusInd,2026-01-04T23:53:19.763142,2026-01-05T00:27:19.763142
HOP_V2CMP_0000001_3,V2CMP_0000001,3,ACCV2_0012749,ACCV2_0012749,4045.94,NEFT,Paytm PB,2026-01-05T00:18:17.324564,2026-01-05T00:30:17.324564
HOP_V2CMP_0000001_4,V2CMP_0000001,4,ACCV2_0012749,ACCV2_0012755,3827.46,UPI,SBI,2026-01-05T00:39:36.898425,2026-01-05T01:10:36.898425
HOP_V2CMP_0000001_5,V2CMP_0000001,5,ACCV2_0012755,ACCV2_0041606,3435.25,UPI,Yes Bank,2026-01-05T00:44:21.307555,2026-01-05T01:08:21.307555
HOP_V2CMP_0000001_6,V2CMP_0000001,6,ACCV2_0041606,ACCV2_0012749,3435.25,IMPS,Paytm PB,2026-01-05T01:03:01.144154,2026-01-05T01:48:01.144154
HOP_V2CMP_0000002_1,V2CMP_0000002,1,VICT_0043088,ACCV2_0020895,12527.36,UPI,Axis,2026-01-17T22:59:59.536288,2026-01-17T23:47:59.536288
HOP_V2CMP_0000002_2,V2CMP_0000002,2,ACCV2_0020895,ACCV2_0020894,10332.62,UPI,HDFC,2026-01-17T23:03:23.932286,2026-01-17T23:43:23.932286
HOP_V2CMP_0000002_3,V2CMP_0000002,3,ACCV2_0020894,ACCV2_0020896,10332.62,UPI,ICICI,2026-01-18T00:02:10.773331,2026-01-18T01:14:10.773331
HOP_V2CMP_0000003_1,V2CMP_0000003,1,VICT_0043089,ACCV2_0003092,4289.05,NEFT,Bank of Baroda,2026-01-28T13:00:05.787830,2026-01-28T13:58:05.787830
HOP_V2CMP_0000003_2,V2CMP_0000003,2,ACCV2_0003092,ACCV2_0003096,4289.05,IMPS,Paytm PB,2026-01-28T13:04:25.865839,2026-01-28T14:17:25.865839
HOP_V2CMP_0000004_1,V2CMP_0000004,1,VICT_0043090,ACCV2_0016403,504808.96,NEFT,Bank of Baroda,2026-01-03T18:48:10.352708,2026-01-03T19:44:10.352708
HOP_V2CMP_0000004_2,V2CMP_0000004,2,ACCV2_0016403,ACCV2_0039689,335350.63,UPI,PNB,2026-01-03T19:26:58.970656,2026-01-03T20:10:58.970656
HOP_V2CMP_0000004_3,V2CMP_0000004,3,ACCV2_0039689,ACCV2_0016415,310034.85,NEFT,ICICI,2026-01-03T19:33:16.706344,2026-01-03T20:04:16.706344
HOP_V2CMP_0000004_4,V2CMP_0000004,4,ACCV2_0016415,ACCV2_0016403,235787.77,RTGS,ICICI,2026-01-03T19:35:53.071878,2026-01-03T20:18:53.071878
HOP_V2CMP_0000004_5,V2CMP_0000004,5,ACCV2_0016403,ACCV2_0016404,235787.77,UPI,Kotak,2026-01-03T19:41:07.933998,2026-01-03T19:57:07.933998
HOP_V2CMP_0000005_1,V2CMP_0000005,1,VICT_0043091,ACCV2_0027686,392280.5,UPI,ICICI,2026-01-17T16:03:21.701044,2026-01-17T16:28:21.701044
HOP_V2CMP_0000005_2,V2CMP_0000005,2,ACCV2_0027686,ACCV2_0027690,333550.11,UPI,Kotak,2026-01-17T16:26:14.921801,2026-01-17T16:37:14.921801
HOP_V2CMP_0000005_3,V2CMP_0000005,3,ACCV2_0027690,ACCV2_0027688,333550.11,UPI,IndusInd,2026-01-17T16:30:56.936398,2026-01-17T17:47:56.936398
