zone_id,zone_name,locality,city,district,state,region,lat,lng,zone_type,min_share,max_share,preferred_typologies
V2_ZID_001,Central Delhi ATM Cluster,Connaught Place,New Delhi,Central Delhi,Delhi,north,28.6315,77.2167,Metro,0.028,0.05,"TYP_04,TYP_07"
V2_ZID_002,South Delhi / Saket,Saket / Malviya Nagar,New Delhi,South Delhi,Delhi,north,28.5245,77.2066,Metro,0.028,0.05,"TYP_04,TYP_07,TYP_09"
V2_ZID_003,Gurugram Sector 29 Cluster,Sector 29 / Sector 43,Gurugram,Gurugram,Haryana,north,28.4595,77.0266,Metro,0.03,0.05,"TYP_04,TYP_07,TYP_03"
V2_ZID_004,Noida Sector 18,Sector 18 / Sector 62,Noida,Gautam Buddha Nagar,Uttar Pradesh,north,28.5706,77.3261,Metro,0.022,0.045,"TYP_04,TYP_08"
V2_ZID_005,Mewat / Nuh,Nuh town,Nuh,Nuh,Haryana,north,28.0163,77.0263,Hotspot,0.018,0.038,"TYP_01,TYP_06"
V2_ZID_006,Mathura / Vrindavan,Mathura bus stand cluster,Mathura,Mathura,Uttar Pradesh,north,27.4924,77.6737,Hotspot,0.012,0.028,"TYP_01,TYP_06"
V2_ZID_007,Ghaziabad Vaishali,Vaishali / Indirapuram,Ghaziabad,Ghaziabad,Uttar Pradesh,north,28.6458,77.3634,Metro,0.018,0.038,"TYP_04,TYP_07"
V2_ZID_008,Faridabad NIT,NIT Faridabad / Sector 21,Faridabad,Faridabad,Haryana,north,28.4089,77.3178,Tier2City,0.01,0.025,"TYP_01,TYP_03"
V2_ZID_009,Lucknow Hazratganj,Hazratganj / Gomti Nagar,Lucknow,Lucknow,Uttar Pradesh,north,26.8467,80.9462,Metro,0.022,0.045,"TYP_04,TYP_07,TYP_09"
V2_ZID_010,Kanpur Civil Lines,Civil Lines / Swaroop Nagar,Kanpur,Kanpur Nagar,Uttar Pradesh,north,26.4499,80.3319,Metro,0.015,0.032,"TYP_04,TYP_03"
V2_ZID_011,Varanasi Sigra,Sigra / Lanka / Godowlia,Varanasi,Varanasi,Uttar Pradesh,north,25.3176,82.9739,Tier2City,0.01,0.022,"TYP_01,TYP_06"
V2_ZID_012,Allahabad Civil Lines,Civil Lines,Prayagraj,Prayagraj,Uttar Pradesh,north,25.4358,81.8463,Tier2City,0.01,0.022,"TYP_01,TYP_07"
V2_ZID_013,Agra Sanjay Place,Sanjay Place / Nehru Nagar,Agra,Agra,Uttar Pradesh,north,27.1767,78.0081,Tier2City,0.01,0.022,"TYP_01,TYP_06"
V2_ZID_014,Chandigarh Sector 17,Sector 17 / Sector 22,Chandigarh,Chandigarh,Chandigarh,north,30.7333,76.7794,Metro,0.014,0.03,"TYP_04,TYP_08"
V2_ZID_015,Panipat / Karnal,Panipat bus stand cluster,Panipat,Panipat,Haryana,north,29.3909,76.9635,Tier2City,0.008,0.02,"TYP_01,TYP_05"
V2_ZID_016,Rohtak / Jhajjar,Rohtak city centre,Rohtak,Rohtak,Haryana,north,28.8955,76.6066,Tier2City,0.008,0.02,"TYP_01,TYP_05,TYP_06"
V2_ZID_017,Muzaffarnagar,Court Road cluster,Muzaffarnagar,Muzaffarnagar,Uttar Pradesh,north,29.4727,77.7085,Tier3City,0.006,0.016,"TYP_01,TYP_06"
V2_ZID_018,Meerut Sadar Bazar,Sadar Bazar / Hapur Road,Meerut,Meerut,Uttar Pradesh,north,28.9845,77.7064,Tier2City,0.01,0.022,"TYP_01,TYP_03"
V2_ZID_019,Bengaluru MG Road,MG Road / Brigade Road / Koramangala,Bengaluru,Bengaluru Urban,Karnataka,south,12.9716,77.5946,Metro,0.03,0.05,"TYP_04,TYP_07,TYP_08"
V2_ZID_020,Bengaluru Whitefield,Whitefield / ITPL / Marathahalli,Bengaluru,Bengaluru Urban,Karnataka,south,12.9698,77.7499,Metro,0.018,0.038,"TYP_04,TYP_08"
V2_ZID_021,Hyderabad Hitech City,Hitech City / Madhapur / Gachibowli,Hyderabad,Hyderabad,Telangana,south,17.4435,78.3772,Metro,0.028,0.05,"TYP_04,TYP_07,TYP_08"
V2_ZID_022,Hyderabad Old City / Charminar,Charminar / Laad Bazaar,Hyderabad,Hyderabad,Telangana,south,17.3616,78.4747,Metro,0.012,0.025,"TYP_01,TYP_06"
V2_ZID_023,Chennai T Nagar,T Nagar / Anna Nagar / Vadapalani,Chennai,Chennai,Tamil Nadu,south,13.0418,80.2341,Metro,0.025,0.048,"TYP_04,TYP_07"
V2_ZID_024,Chennai OMR IT Corridor,Sholinganallur / Perungudi,Chennai,Chennai,Tamil Nadu,south,12.901,80.2279,Metro,0.014,0.028,"TYP_04,TYP_08"
V2_ZID_025,Coimbatore RS Puram,RS Puram / Gandhipuram,Coimbatore,Coimbatore,Tamil Nadu,south,11.0168,76.9558,Tier2City,0.01,0.022,"TYP_04,TYP_03"
V2_ZID_026,Madurai,Madurai city centre / Tallakulam,Madurai,Madurai,Tamil Nadu,south,9.9252,78.1198,Tier2City,0.008,0.018,"TYP_01,TYP_06"
V2_ZID_027,Kochi Marine Drive,Marine Drive / Edapally,Kochi,Ernakulam,Kerala,south,9.9312,76.2673,Metro,0.016,0.033,"TYP_04,TYP_09"
V2_ZID_028,Thiruvananthapuram,Kazhakkoottam / Technopark,Thiruvananthapuram,Thiruvananthapuram,Kerala,south,8.5241,76.9366,Metro,0.012,0.025,"TYP_04,TYP_08"
V2_ZID_029,Kozhikode City,Calicut city centre / Mavoor Road,Kozhikode,Kozhikode,Kerala,south,11.2588,75.7804,Tier2City,0.006,0.015,"TYP_01,TYP_09"
V2_ZID_030,Vijayawada Governorpet,Governorpet / Labbipet,Vijayawada,Krishna,Andhra Pradesh,south,16.5062,80.648,Tier2City,0.01,0.022,"TYP_01,TYP_03"
V2_ZID_031,Visakhapatnam Steel Plant Area,Gajuwaka / Steel Plant,Visakhapatnam,Visakhapatnam,Andhra Pradesh,south,17.6868,83.2185,Tier2City,0.01,0.022,"TYP_03,TYP_04"
V2_ZID_032,Mysuru Lashkar Mohalla,Lashkar / Devaraja Market,Mysuru,Mysuru,Karnataka,south,12.2958,76.6394,Tier2City,0.008,0.018,"TYP_06,TYP_01"
V2_ZID_033,Hubballi CBD,Central Business District,Hubballi,Dharwad,Karnataka,south,15.3647,75.124,Tier2City,0.006,0.015,"TYP_01,TYP_06"
V2_ZID_034,Nellore / Tirupati,Tirupati bus stand,Tirupati,Tirupati,Andhra Pradesh,south,13.6288,79.4192,Tier3City,0.005,0.012,"TYP_01,TYP_06"
V2_ZID_035,Warangal City,Hanmakonda / Kazipet,Warangal,Hanumakonda,Telangana,south,18.0,79.5882,Tier2City,0.006,0.015,"TYP_01,TYP_05"
V2_ZID_036,Bengaluru Electronic City,Electronic City / Hosur Road,Bengaluru,Bengaluru Urban,Karnataka,south,12.8399,77.677,Metro,0.012,0.025,"TYP_04,TYP_08"
V2_ZID_037,Thrissur,Thrissur Round / Poothole,Thrissur,Thrissur,Kerala,south,10.5276,76.2144,Tier2City,0.005,0.012,"TYP_01,TYP_09"
V2_ZID_038,Kurnool / Anantapur,Kurnool city,Kurnool,Kurnool,Andhra Pradesh,south,15.8281,78.0373,Tier3City,0.004,0.01,"TYP_06,TYP_02"
V2_ZID_039,Mumbai Lower Parel / BKC,BKC / Lower Parel / Bandra,Mumbai,Mumbai City,Maharashtra,west,19.0596,72.8295,Metro,0.028,0.05,"TYP_04,TYP_07,TYP_08"
V2_ZID_040,Mumbai Andheri / Jogeshwari,Andheri West / Jogeshwari,Mumbai,Mumbai Suburban,Maharashtra,west,19.1136,72.8697,Metro,0.02,0.04,"TYP_04,TYP_03"
V2_ZID_041,Mumbai Thane,Thane West / Pokhran Road,Thane,Thane,Maharashtra,west,19.2183,72.9781,Metro,0.016,0.033,"TYP_04,TYP_08"
V2_ZID_042,Pune FC Road / Hinjewadi,FC Road / Hinjewadi IT Park,Pune,Pune,Maharashtra,west,18.563,73.8113,Metro,0.022,0.045,"TYP_04,TYP_07,TYP_08"
V2_ZID_043,Nashik CB Stand,Gangapur Road / CBS,Nashik,Nashik,Maharashtra,west,19.9975,73.7898,Tier2City,0.01,0.022,"TYP_03,TYP_01"
V2_ZID_044,Nagpur Dharampeth,Dharampeth / Sitabuldi,Nagpur,Nagpur,Maharashtra,west,21.1458,79.0882,Tier2City,0.012,0.025,"TYP_04,TYP_03"
V2_ZID_045,Aurangabad MIDC,Waluj MIDC / Cidco,Aurangabad,Aurangabad (Chh.Sambhajinagar),Maharashtra,west,19.8762,75.3433,Tier2City,0.008,0.018,"TYP_03,TYP_01"
V2_ZID_046,Ahmedabad SG Highway,SG Road / Prahlad Nagar / CG Road,Ahmedabad,Ahmedabad,Gujarat,west,23.0325,72.5073,Metro,0.022,0.045,"TYP_04,TYP_07"
